GO:0016802	trialkylsulfonium hydrolase activity	AAEL008341 AAEL005524
GO:0004819	glutamine-tRNA ligase activity	AAEL011395
GO:0004818	glutamate-tRNA ligase activity	AAEL005688 AAEL005801
GO:0030623	U5 snRNA binding	AAEL009959
GO:0005543	phospholipid binding	AAEL005845 AAEL004236 AAEL014598 AAEL010449 AAEL013863 AAEL006242
GO:0005544	calcium-dependent phospholipid binding	AAEL005426 AAEL011302 AAEL005408 AAEL005417 AAEL005412 AAEL015595 AAEL005407
GO:0005545	1-phosphatidylinositol binding	AAEL013863
GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	AAEL003416
GO:0003810	protein-glutamine gamma-glutamyltransferase activity	AAEL006978 AAEL004513
GO:0004563	beta-N-acetylhexosaminidase activity	AAEL011517 AAEL004661 AAEL007839 AAEL004931
GO:0004565	beta-galactosidase activity	AAEL004582 AAEL004575 AAEL004580
GO:0043539	protein serine/threonine kinase activator activity	AAEL004717
GO:0004566	beta-glucuronidase activity	AAEL017512
GO:0004568	chitinase activity	AAEL012268 AAEL013262 AAEL012370 AAEL002959 AAEL003056 AAEL010963 AAEL002972 AAEL009782 AAEL001965 AAEL006147 AAEL006349 AAEL000389 AAEL012467 AAEL003066 AAEL014667 AAEL002964 AAEL004897 AAEL005684 AAEL008570 AAEL002023 AAEL002969 AAEL008040 AAEL009758 AAEL003094 AAEL013385 AAEL011496 AAEL003110
GO:0008332	low voltage-gated calcium channel activity	AAEL018125
GO:0008079	translation termination factor activity	AAEL010339 AAEL013711 AAEL012009
GO:0099503	secretory vesicle	AAEL002055
GO:0051119	sugar transmembrane transporter activity	AAEL013608 AAEL000459 AAEL006666
GO:0008073	ornithine decarboxylase inhibitor activity	AAEL004783
GO:0004383	guanylate cyclase activity	AAEL004876 AAEL013328 AAEL008390 AAEL007359 AAEL004883 AAEL012988 AAEL008387 AAEL011318 AAEL005330 AAEL006806 AAEL014569 AAEL005442 AAEL001457 AAEL013026 AAEL015372 AAEL001915
GO:0004385	guanylate kinase activity	AAEL011006
GO:0008076	voltage-gated potassium channel complex	AAEL009453 AAEL007104 AAEL012277 AAEL015542 AAEL000242 AAEL009619 AAEL011835 AAEL014162 AAEL018306 AAEL007146 AAEL007143 AAEL018234
GO:1902224	ketone body metabolic process	AAEL011137
GO:0004386	helicase activity	AAEL004117 AAEL006640 AAEL001317 AAEL008463 AAEL001216 AAEL008500 AAEL014106 AAEL007274 AAEL002351 AAEL004419 AAEL013359 AAEL013235 AAEL014904 AAEL010402 AAEL011378 AAEL001769 AAEL014414 AAEL011817 AAEL013400 AAEL013182 AAEL013998 AAEL004978 AAEL005744 AAEL002083 AAEL014256 AAEL012962 AAEL010787 AAEL013950
GO:0016892	endoribonuclease activity, producing 3'-phosphomonoesters	AAEL001556 AAEL006508 AAEL008576
GO:0016893	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	AAEL009712 AAEL007653 AAEL015062
GO:0046964	3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity	AAEL004594
GO:0046963	3'-phosphoadenosine 5'-phosphosulfate transport	AAEL004594
GO:0046961	proton-transporting ATPase activity, rotational mechanism	AAEL002545 AAEL002546 AAEL008848 AAEL007777 AAEL008787 AAEL012035 AAEL002504 AAEL012175 AAEL002464 AAEL004060 AAEL006516
GO:0001510	RNA methylation	AAEL011732 AAEL011303
GO:0009074	aromatic amino acid family catabolic process	AAEL008879
GO:0031461	cullin-RING ubiquitin ligase complex	AAEL801225_b AAEL801225_a AAEL007187 AAEL007353 AAEL013530 AAEL006291 AAEL003466 AAEL006929
GO:0031463	Cul3-RING ubiquitin ligase complex	AAEL005424
GO:0009070	serine family amino acid biosynthetic process	AAEL007370
GO:0009071	serine family amino acid catabolic process	AAEL010276 AAEL015628 AAEL014426
GO:0009072	aromatic amino acid family metabolic process	AAEL017120 AAEL014600 AAEL017098 AAEL011973 AAEL008963 AAEL010442 AAEL011934
GO:0001518	voltage-gated sodium channel complex	AAEL013277 AAEL006019
GO:0000015	phosphopyruvate hydratase complex	AAEL001668
GO:0044248	cellular catabolic process	AAEL008879
GO:1901566	organonitrogen compound biosynthetic process	AAEL002675 AAEL004701
GO:0000012	single strand break repair	AAEL002782
GO:0018205	peptidyl-lysine modification	AAEL011245 AAEL006129
GO:0039694	viral RNA genome replication	AAEL017001
GO:0000018	regulation of DNA recombination	AAEL008960
GO:0004707	MAP kinase activity	AAEL008622 AAEL008379 AAEL013939 AAEL008634 AAEL007958 AAEL004797
GO:0004703	G-protein coupled receptor kinase activity	AAEL006868 AAEL006110
GO:0004702	receptor signaling protein serine/threonine kinase activity	AAEL015125 AAEL009652 AAEL007384 AAEL009339 AAEL001711 AAEL004165 AAEL012152 AAEL012125
GO:0005388	calcium-transporting ATPase activity	AAEL003521 AAEL017576 AAEL005561 AAEL017456 AAEL003518 AAEL006582
GO:0004709	MAP kinase kinase kinase activity	AAEL007035 AAEL018130
GO:0018024	histone-lysine N-methyltransferase activity	AAEL010414 AAEL010826 AAEL009666 AAEL006013 AAEL004290 AAEL000193 AAEL005378 AAEL005380 AAEL006783
GO:0004030	aldehyde dehydrogenase [NAD(P)+] activity	AAEL009664 AAEL012162
GO:0004037	allantoicase activity	AAEL014045
GO:0004035	alkaline phosphatase activity	AAEL003905 AAEL003297 AAEL003289 AAEL009077 AAEL003286 AAEL003298 AAEL003313 AAEL000931 AAEL003309
GO:0003938	IMP dehydrogenase activity	AAEL009273
GO:0003937	IMP cyclohydrolase activity	AAEL012825
GO:0004038	allantoinase activity	AAEL007653
GO:0008253	5'-nucleotidase activity	AAEL000258
GO:0008252	nucleotidase activity	AAEL000258
GO:0008250	oligosaccharyltransferase complex	AAEL010521 AAEL015572 AAEL002183
GO:0051020	GTPase binding	AAEL009636 AAEL010698
GO:0009123	nucleoside monophosphate metabolic process	AAEL004178
GO:0045329	carnitine biosynthetic process	AAEL009731
GO:0051028	mRNA transport	AAEL006748 AAEL004053 AAEL009839 AAEL006050
GO:0051321	meiotic cell cycle	AAEL010595 AAEL000034 AAEL008595 AAEL013235 AAEL014377
GO:0001607	neuromedin U receptor activity	AAEL017335 AAEL003747 AAEL012796 AAEL017048
GO:0045088	regulation of innate immune response	AAEL007696
GO:0036064	ciliary basal body	AAEL011631 AAEL000962 AAEL011640
GO:0044264	cellular polysaccharide metabolic process	AAEL007651 AAEL006436
GO:0044265	cellular macromolecule catabolic process	AAEL013701
GO:0044262	cellular carbohydrate metabolic process	AAEL015315 AAEL003090
GO:0080025	phosphatidylinositol-3,5-bisphosphate binding	AAEL013995 AAEL005701
GO:0044260	cellular macromolecule metabolic process	AAEL011993 AAEL002098
GO:0000703	oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	AAEL003906
GO:0000702	oxidized base lesion DNA N-glycosylase activity	AAEL003906
GO:0004639	phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	AAEL003606
GO:0009124	nucleoside monophosphate biosynthetic process	AAEL004178
GO:0004149	dihydrolipoyllysine-residue succinyltransferase activity	AAEL002764
GO:0004148	dihydrolipoyl dehydrogenase activity	AAEL006928
GO:0004631	phosphomevalonate kinase activity	AAEL013814
GO:0004146	dihydrofolate reductase activity	AAEL007370
GO:0004144	diacylglycerol O-acyltransferase activity	AAEL000669 AAEL001204 AAEL000658
GO:0004143	diacylglycerol kinase activity	AAEL011712 AAEL011709 AAEL002727 AAEL013847 AAEL013034 AAEL013849
GO:0004634	phosphopyruvate hydratase activity	AAEL001668
GO:0004637	phosphoribosylamine-glycine ligase activity	AAEL010640
GO:0004140	dephospho-CoA kinase activity	AAEL003770 AAEL013394
GO:0016823	hydrolase activity, acting on acid carbon-carbon bonds, in ketonic substances	AAEL011973
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	AAEL009964 AAEL004423 AAEL005610 AAEL018667 AAEL006509 AAEL801217 AAEL002813
GO:0019310	inositol catabolic process	AAEL008701
GO:0016822	hydrolase activity, acting on acid carbon-carbon bonds	AAEL011973
GO:0032768	regulation of monooxygenase activity	AAEL008402 AAEL002050
GO:0019318	hexose metabolic process	AAEL005446 AAEL001093 AAEL013132
GO:0019319	hexose biosynthetic process	AAEL012665 AAEL002542 AAEL012994 AAEL015624 AAEL009691 AAEL000080 AAEL000006 AAEL000025
GO:0000270	peptidoglycan metabolic process	AAEL018028 AAEL009474 AAEL007039 AAEL010171 AAEL012007 AAEL013710 AAEL014640 AAEL011608 AAEL017056 AAEL003037 AAEL014989 AAEL012380 AAEL011551 AAEL013112
GO:0016820	hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances	AAEL005798 AAEL012819 AAEL013302 AAEL007184
GO:0008495	protoheme IX farnesyltransferase activity	AAEL001479
GO:0090568	nuclear transcriptional repressor complex	AAEL004552
GO:0006893	Golgi to plasma membrane transport	AAEL009926
GO:0008652	cellular amino acid biosynthetic process	AAEL004701
GO:0006891	intra-Golgi vesicle-mediated transport	AAEL001541 AAEL008135 AAEL005180 AAEL007141 AAEL003980
GO:0006890	retrograde vesicle-mediated transport, Golgi to ER	AAEL013230 AAEL004497
GO:0006897	endocytosis	AAEL014598 AAEL005341 AAEL007950 AAEL000239 AAEL013892 AAEL011878 AAEL002469 AAEL010449
GO:0043666	regulation of phosphoprotein phosphatase activity	AAEL007410
GO:0006895	Golgi to endosome transport	AAEL013252 AAEL801165
GO:0008654	phospholipid biosynthetic process	AAEL006667 AAEL001472 AAEL001000 AAEL002834 AAEL014395 AAEL014947 AAEL010223 AAEL011898 AAEL011841 AAEL012719 AAEL014198 AAEL014142 AAEL011902
GO:0019798	procollagen-proline dioxygenase activity	AAEL005714 AAEL007032 AAEL007038 AAEL015284
GO:0019799	tubulin N-acetyltransferase activity	AAEL008679 AAEL008682
GO:0044364	disruption of cells of other organism	AAEL000627
GO:0016894	endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 3'-phosphomonoesters	AAEL012418
GO:0065004	protein-DNA complex assembly	AAEL003689 AAEL010809 AAEL003814 AAEL012289 AAEL003838 AAEL014560 AAEL006665 AAEL015464 AAEL011906 AAEL000501 AAEL018018 AAEL011106 AAEL011999 AAEL005567 AAEL013709 AAEL003673 AAEL003823 AAEL000490 AAEL003866 AAEL003846 AAEL000432 AAEL000513 AAEL015684 AAEL000517 AAEL010240 AAEL010638 AAEL002103 AAEL013951 AAEL011908
GO:0051338	regulation of transferase activity	AAEL006187
GO:0015405	P-P-bond-hydrolysis-driven transmembrane transporter activity	AAEL005471 AAEL015575 AAEL010002
GO:1900750	oligopeptide binding	AAEL009154
GO:0019001	guanyl nucleotide binding	AAEL009037 AAEL013125
GO:0010387	COP9 signalosome assembly	AAEL015122 AAEL007821 AAEL011673
GO:2000145	regulation of cell motility	AAEL000264
GO:0060828	regulation of canonical Wnt signaling pathway	AAEL007797
GO:2000147	positive regulation of cell motility	AAEL018333 AAEL005189
GO:0019008	molybdopterin synthase complex	AAEL015584 AAEL007640 AAEL007643 AAEL015583
GO:0046983	protein dimerization activity	AAEL002423 AAEL012662 AAEL010700 AAEL011825 AAEL004428 AAEL017993 AAEL005452 AAEL006206 AAEL007271 AAEL003613 AAEL000341 AAEL013946 AAEL010031 AAEL003371 AAEL004254 AAEL004252 AAEL007814 AAEL006567 AAEL012237 AAEL002902 AAEL008660 AAEL009595 AAEL002382 AAEL006314 AAEL010226 AAEL010472 AAEL010557 AAEL018049
GO:0046982	protein heterodimerization activity	AAEL006988 AAEL001165 AAEL018193 AAEL018013 AAEL011424
GO:0015269	calcium-activated potassium channel activity	AAEL008915 AAEL018306
GO:0071103	DNA conformation change	AAEL007683 AAEL012584 AAEL018244 AAEL013701 AAEL011603 AAEL002551
GO:0032104	regulation of response to extracellular stimulus	AAEL012542
GO:0016796	exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters	AAEL004943
GO:0016791	phosphatase activity	AAEL015070 AAEL010530 AAEL002370 AAEL003317 AAEL000845 AAEL010078 AAEL004251 AAEL011597 AAEL013330 AAEL011176 AAEL009503 AAEL011175 AAEL003412 AAEL010234 AAEL000196 AAEL010373 AAEL014601
GO:0070273	phosphatidylinositol-4-phosphate binding	AAEL004973
GO:0070271	protein complex biogenesis	AAEL005171
GO:0019773	proteasome core complex, alpha-subunit complex	AAEL013089 AAEL006061 AAEL010087 AAEL003871 AAEL009898 AAEL005830 AAEL015007 AAEL004308
GO:0016895	exodeoxyribonuclease activity, producing 5'-phosphomonoesters	AAEL004943
GO:1901858	regulation of mitochondrial DNA metabolic process	AAEL006474
GO:0016798	hydrolase activity, acting on glycosyl bonds	AAEL003402 AAEL009111 AAEL013717 AAEL002413 AAEL005216 AAEL006380 AAEL006381 AAEL003766 AAEL006375
GO:0010951	negative regulation of endopeptidase activity	AAEL017319
GO:0007043	cell-cell junction assembly	AAEL014227
GO:0007041	lysosomal transport	AAEL006142
GO:0007040	lysosome organization	AAEL005701 AAEL000562
GO:0016272	prefoldin complex	AAEL009109 AAEL001103 AAEL013212 AAEL001838 AAEL003180 AAEL011581 AAEL004427 AAEL012507 AAEL002337
GO:0055129	L-proline biosynthetic process	AAEL007033 AAEL000201 AAEL011920 AAEL008418 AAEL009831
GO:0032968	positive regulation of transcription elongation from RNA polymerase II promoter	AAEL003945
GO:0007049	cell cycle	AAEL009880 AAEL012283 AAEL005631 AAEL004686 AAEL005232 AAEL007649 AAEL006140 AAEL004552 AAEL003648 AAEL004492 AAEL002010 AAEL006859 AAEL000128 AAEL008850 AAEL001321 AAEL014868 AAEL015523 AAEL014276 AAEL012312 AAEL005146
GO:0010569	regulation of double-strand break repair via homologous recombination	AAEL008960
GO:0052591	sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	AAEL003873
GO:0052590	sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity	AAEL003873
GO:0000808	origin recognition complex	AAEL011358 AAEL001785 AAEL001781 AAEL007457
GO:0030100	regulation of endocytosis	AAEL000239
GO:0045502	dynein binding	AAEL010772
GO:0033567	DNA replication, Okazaki fragment processing	AAEL000201
GO:0033566	gamma-tubulin complex localization	AAEL011054
GO:0010389	regulation of G2/M transition of mitotic cell cycle	AAEL009572
GO:0016661	oxidoreductase activity, acting on other nitrogenous compounds as donors	AAEL002194
GO:0032561	guanyl ribonucleotide binding	AAEL012101 AAEL008095 AAEL011382 AAEL014340 AAEL000080 AAEL015296 AAEL002971 AAEL004191 AAEL005493 AAEL009037 AAEL004902 AAEL000025 AAEL008398 AAEL012857 AAEL006642 AAEL005197 AAEL010688 AAEL008086 AAEL002311 AAEL007525 AAEL007209 AAEL006031 AAEL009732 AAEL017096 AAEL009241 AAEL014177 AAEL008641 AAEL004913 AAEL017301 AAEL018310 AAEL007845 AAEL011522 AAEL002671 AAEL005084 AAEL013636 AAEL013631 AAEL010742 AAEL003817 AAEL006020 AAEL003813 AAEL015547 AAEL001199 AAEL007661 AAEL008673 AAEL008543 AAEL002155 AAEL005856 AAEL000006 AAEL001853 AAEL008179 AAEL003306 AAEL003301 AAEL003161 AAEL013123 AAEL013124 AAEL003555 AAEL003829 AAEL001901 AAEL005069 AAEL002660 AAEL011599 AAEL013252 AAEL017378 AAEL010170 AAEL003281 AAEL005052 AAEL001188 AAEL801146 AAEL012250 AAEL007065 AAEL018022 AAEL010430 AAEL009068 AAEL009287 AAEL011500 AAEL013387 AAEL013229 AAEL014796 AAEL010105 AAEL013139 AAEL003293 AAEL004568 AAEL002425 AAEL801268 AAEL004565 AAEL015271 AAEL009180 AAEL007400 AAEL007766 AAEL009377 AAEL014636 AAEL018037 AAEL004500 AAEL011168 AAEL005579 AAEL008959 AAEL013620 AAEL017368 AAEL010403 AAEL010012 AAEL006540 AAEL801165 AAEL004471 AAEL005785 AAEL005071 AAEL005072 AAEL012071 AAEL013761 AAEL006179 AAEL009974 AAEL011171 AAEL010506 AAEL000825 AAEL001738 AAEL013017 AAEL001524 AAEL004939 AAEL005573 AAEL013076 AAEL001019 AAEL011255 AAEL009859 AAEL003587 AAEL002851 AAEL008133 AAEL006786 AAEL002119 AAEL015232 AAEL008630 AAEL000629 AAEL007288 AAEL003109 AAEL012843 AAEL004007 AAEL000248 AAEL003926 AAEL013064 AAEL010423 AAEL001574 AAEL001571 AAEL012424 AAEL014749 AAEL002848 AAEL009317 AAEL009342 AAEL003989 AAEL000622 AAEL012195 AAEL004740 AAEL009157 AAEL004668 AAEL003170 AAEL008517 AAEL006091 AAEL008029 AAEL011012 AAEL002160 AAEL006267 AAEL012167 AAEL006880 AAEL002999 AAEL004172 AAEL003503 AAEL004087
GO:0016663	oxidoreductase activity, acting on other nitrogenous compounds as donors, oxygen as acceptor	AAEL002194
GO:0022618	ribonucleoprotein complex assembly	AAEL014506
GO:0016667	oxidoreductase activity, acting on a sulfur group of donors	AAEL008783 AAEL008291 AAEL001109 AAEL003807 AAEL008776 AAEL009351 AAEL003206 AAEL009708 AAEL013980 AAEL010777
GO:0016668	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	AAEL006928
GO:0033743	peptide-methionine (R)-S-oxide reductase activity	AAEL002620 AAEL002581 AAEL018038
GO:0034244	negative regulation of transcription elongation from RNA polymerase II promoter	AAEL005813
GO:0034243	regulation of transcription elongation from RNA polymerase II promoter	AAEL003945
GO:0071256	translocon complex	AAEL013989
GO:0033961	cis-stilbene-oxide hydrolase activity	AAEL011314 AAEL011313
GO:0042048	olfactory behavior	AAEL005207
GO:0033218	amide binding	AAEL002237 AAEL008160 AAEL002228 AAEL002204 AAEL001194 AAEL002200
GO:0016084	myostimulatory hormone activity	AAEL012060
GO:0034249	negative regulation of cellular amide metabolic process	AAEL005004 AAEL008050
GO:0034248	regulation of cellular amide metabolic process	AAEL007329 AAEL006187
GO:0032580	Golgi cisterna membrane	AAEL013572 AAEL000244 AAEL010569 AAEL006466 AAEL001877 AAEL008181 AAEL011784
GO:0071265	L-methionine biosynthetic process	AAEL011830 AAEL013828
GO:0004750	ribulose-phosphate 3-epimerase activity	AAEL010505
GO:0051748	UTP-monosaccharide-1-phosphate uridylyltransferase activity	AAEL005617
GO:0022610	biological adhesion	AAEL010723 AAEL003710 AAEL010289 AAEL000373 AAEL013600 AAEL000308 AAEL006707 AAEL010927 AAEL003754 AAEL003398 AAEL000329 AAEL007455 AAEL015560 AAEL003727 AAEL018031 AAEL011166 AAEL006222 AAEL012888 AAEL002887 AAEL010799 AAEL002256 AAEL012466 AAEL003708 AAEL000206 AAEL005981 AAEL000597 AAEL000306 AAEL007401 AAEL013461 AAEL014660 AAEL013762 AAEL009173 AAEL015456 AAEL008773 AAEL005879 AAEL015353 AAEL001829 AAEL011038 AAEL007123 AAEL008062 AAEL004665 AAEL001603 AAEL013381 AAEL801220
GO:0033699	DNA 5'-adenosine monophosphate hydrolase activity	AAEL014945
GO:0065008	regulation of biological quality	AAEL011360
GO:0043474	pigment metabolic process involved in pigmentation	AAEL006142
GO:1904064	positive regulation of cation transmembrane transport	AAEL801170 AAEL013251
GO:0051693	actin filament capping	AAEL002184 AAEL006090 AAEL006096 AAEL006095 AAEL013778 AAEL006102
GO:0072698	protein localization to microtubule cytoskeleton	AAEL010873 AAEL009976
GO:0033692	cellular polysaccharide biosynthetic process	AAEL004221 AAEL009838 AAEL014530 AAEL010602 AAEL011686 AAEL013755
GO:0016405	CoA-ligase activity	AAEL015010 AAEL000321
GO:0016407	acetyltransferase activity	AAEL012413 AAEL002242 AAEL010806 AAEL017977 AAEL006743 AAEL004043 AAEL014713 AAEL004847 AAEL006668 AAEL009373 AAEL012870 AAEL009945 AAEL004827 AAEL012862 AAEL012863 AAEL012952 AAEL004042 AAEL012866 AAEL014820 AAEL014822 AAEL002255 AAEL002199 AAEL015623 AAEL012375 AAEL006400 AAEL007994 AAEL006469 AAEL005709 AAEL009935 AAEL002042 AAEL002100 AAEL009818 AAEL009938 AAEL013851 AAEL002891
GO:0003922	GMP synthase (glutamine-hydrolyzing) activity	AAEL801247 AAEL001869
GO:1901031	regulation of response to reactive oxygen species	AAEL002487
GO:0033365	protein localization to organelle	AAEL014486 AAEL000569 AAEL002774 AAEL006231 AAEL010761
GO:0019171	3-hydroxyacyl-[acyl-carrier-protein] dehydratase activity	AAEL001194
GO:0006412	translation	AAEL003396 AAEL003397 AAEL014189 AAEL000279 AAEL003409 AAEL008447 AAEL002783 AAEL013694 AAEL005451 AAEL010335 AAEL005901 AAEL000010 AAEL004069 AAEL011656 AAEL014903 AAEL010756 AAEL003142 AAEL002418 AAEL009506 AAEL008083 AAEL004433 AAEL010830 AAEL010299 AAEL003704 AAEL003801 AAEL006511 AAEL013680 AAEL008192 AAEL005629 AAEL008169 AAEL012921 AAEL013116 AAEL001849 AAEL004527 AAEL005085 AAEL003427 AAEL004034 AAEL013583 AAEL007355 AAEL001759 AAEL011587 AAEL005162 AAEL000467 AAEL014562 AAEL013536 AAEL009608 AAEL001909 AAEL007699 AAEL012736 AAEL004325 AAEL001453 AAEL012733 AAEL001439 AAEL011447 AAEL008188 AAEL003942 AAEL004385 AAEL006698 AAEL011471 AAEL006117 AAEL015668 AAEL005150 AAEL801149 AAEL007771 AAEL008103 AAEL009613 AAEL001488 AAEL004830 AAEL005817 AAEL000987 AAEL002002 AAEL011219 AAEL001615 AAEL013221 AAEL010168 AAEL017516 AAEL008353 AAEL013158 AAEL002832 AAEL002639 AAEL012264 AAEL013097 AAEL000529 AAEL009379 AAEL005413 AAEL009747 AAEL000210 AAEL004822 AAEL008481 AAEL005944 AAEL004306 AAEL013964 AAEL005097 AAEL013625 AAEL003926 AAEL013272 AAEL017198 AAEL005266 AAEL007715 AAEL009994 AAEL015006 AAEL003822 AAEL008044 AAEL013021 AAEL007168 AAEL014838 AAEL001280 AAEL000823 AAEL002534 AAEL004151 AAEL014836 AAEL006860 AAEL007824 AAEL005220 AAEL002368 AAEL004503 AAEL000701 AAEL005598 AAEL005129 AAEL012686 AAEL003582 AAEL006785 AAEL012944 AAEL006141 AAEL008582 AAEL000032 AAEL002372 AAEL009825 AAEL014292 AAEL011814 AAEL006395 AAEL009341 AAEL001066 AAEL009225 AAEL009496 AAEL009151 AAEL009653 AAEL011391 AAEL011390 AAEL010550 AAEL017046 AAEL004175
GO:0016409	palmitoyltransferase activity	AAEL801263 AAEL006780 AAEL011342 AAEL012784 AAEL012705 AAEL015258 AAEL002219 AAEL001389 AAEL015466 AAEL001203 AAEL005023 AAEL010581 AAEL003238 AAEL015257
GO:0016408	C-acyltransferase activity	AAEL012318
GO:0071897	DNA biosynthetic process	AAEL017566 AAEL017561 AAEL017365
GO:0032296	double-stranded RNA-specific ribonuclease activity	AAEL006794 AAEL008592 AAEL008175 AAEL001612
GO:0046292	formaldehyde metabolic process	AAEL001030
GO:0016337	single organismal cell-cell adhesion	AAEL005461 AAEL018342
GO:0034333	adherens junction assembly	AAEL002887
GO:0046364	monosaccharide biosynthetic process	AAEL012665 AAEL002542 AAEL012994 AAEL015624 AAEL009691 AAEL000080 AAEL000006 AAEL000025
GO:0030983	mismatched DNA binding	AAEL005494 AAEL005858 AAEL013690 AAEL011780 AAEL014856 AAEL010033 AAEL001140
GO:0072528	pyrimidine-containing compound biosynthetic process	AAEL008131
GO:0034627	'de novo' NAD biosynthetic process	AAEL008879
GO:0032231	regulation of actin filament bundle assembly	AAEL018333 AAEL005189
GO:0034622	cellular macromolecular complex assembly	AAEL014506
GO:0072521	purine-containing compound metabolic process	AAEL002194
GO:0072522	purine-containing compound biosynthetic process	AAEL012825
GO:0034629	cellular protein complex localization	AAEL010385 AAEL010377
GO:0072525	pyridine-containing compound biosynthetic process	AAEL005106
GO:0072527	pyrimidine-containing compound metabolic process	AAEL006587
GO:0005819	spindle	AAEL008618
GO:0005813	centrosome	AAEL006182 AAEL011631 AAEL009976 AAEL010873 AAEL011640 AAEL014144 AAEL013234 AAEL007637
GO:0005814	centriole	AAEL012031 AAEL009360 AAEL008944
GO:0005815	microtubule organizing center	AAEL008110 AAEL002312 AAEL003546 AAEL013903 AAEL006653 AAEL008465 AAEL000770
GO:0016539	intein-mediated protein splicing	AAEL006708
GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	AAEL801166 AAEL004492 AAEL005232 AAEL013248
GO:0042445	hormone metabolic process	AAEL017302
GO:0016531	copper chaperone activity	AAEL017081
GO:0016530	metallochaperone activity	AAEL017081
GO:0016533	cyclin-dependent protein kinase 5 holoenzyme complex	AAEL004717
GO:0016532	superoxide dismutase copper chaperone activity	AAEL012368 AAEL009436
GO:0016534	cyclin-dependent protein kinase 5 activator activity	AAEL004717
GO:1903364	positive regulation of cellular protein catabolic process	AAEL000393
GO:0046185	aldehyde catabolic process	AAEL001030
GO:0017119	Golgi transport complex	AAEL001541 AAEL007307 AAEL008135 AAEL008725 AAEL011531 AAEL005180 AAEL007141 AAEL003980
GO:0015868	purine ribonucleotide transport	AAEL004594
GO:0010810	regulation of cell-substrate adhesion	AAEL018333 AAEL005189 AAEL005667
GO:0031124	mRNA 3'-end processing	AAEL013869 AAEL009302
GO:0061135	endopeptidase regulator activity	AAEL017023 AAEL000087 AAEL001794 AAEL001802 AAEL008607 AAEL012267 AAEL001163 AAEL014755
GO:0006418	tRNA aminoacylation for protein translation	AAEL001200 AAEL009917
GO:0017111	nucleoside-triphosphatase activity	AAEL012922 AAEL001411 AAEL005656 AAEL004227 AAEL003739 AAEL000596 AAEL005733 AAEL008610 AAEL009991 AAEL006029 AAEL018321 AAEL009357 AAEL012449 AAEL010975 AAEL012631 AAEL011905 AAEL004375 AAEL002868 AAEL001220 AAEL011436
GO:0031123	RNA 3'-end processing	AAEL005356
GO:0031122	cytoplasmic microtubule organization	AAEL013064 AAEL012843
GO:0002097	tRNA wobble base modification	AAEL011283 AAEL000938 AAEL008680 AAEL001036 AAEL002056 AAEL013488
GO:0002094	polyprenyltransferase activity	AAEL011249
GO:0030431	sleep	AAEL801170 AAEL013251
GO:1902652	secondary alcohol metabolic process	AAEL005706 AAEL000798
GO:0030433	ER-associated ubiquitin-dependent protein catabolic process	AAEL004697
GO:0005852	eukaryotic translation initiation factor 3 complex	AAEL013144 AAEL009617 AAEL004347 AAEL012661 AAEL012279 AAEL006851 AAEL009101 AAEL009902 AAEL007945 AAEL014715 AAEL000175 AAEL007078 AAEL006115 AAEL002334 AAEL007718
GO:0048866	stem cell fate specification	AAEL014048
GO:0002098	tRNA wobble uridine modification	AAEL011283 AAEL000938 AAEL008680 AAEL001036 AAEL002056 AAEL013488
GO:0005604	basement membrane	AAEL005187
